Organization Name,Category,City,Address,Phone,Email,Website,Target Group,Main Services,Latitude,Longitude,Notes
Brock University – Faculty of Social Sciences (Contacts),Education / Research Support,St. Catharines,"Scotiabank Hall, 1812 Sir Isaac Brock Way, St. Catharines, ON L2S 3A1",905-688-5550,dean.socsci@brocku.ca,https://brocku.ca,"Researchers, students, community partners","Academic contacts, research collaboration, community partnership potential",43.1594,-79.2469,Useful for research-informed ecosystem projects.
Niagara Women's Enterprise Centre (NWEC),Women Entrepreneurship / Training,Welland,"41 Victoria St., Welland, ON L3B 4L7",,,https://www.nwec.ca/,"Women (employment, entrepreneurship, training, wellness)","Women’s entrepreneurship support, training, wellness programs, 1:1 and group programs",42.9922,-79.2484,Added from your pasted details. Coordinates are approximate (city-centre).
Greater Niagara Chamber of Commerce (Women in Niagara Council),Chamber of Commerce,St. Catharines,"80 King Street, Unit 3, St. Catharines, ON L2R 7G1",905-684-2361,info@gncc.ca,https://gncc.ca,Businesses and entrepreneurs (incl. women-led businesses),"Business networking, advocacy, councils (Women in Niagara), events, member supports",43.1594,-79.2469,Coordinates are approximate (city-centre).
Niagara Board of Trade & Commerce (NBOTAC),Chamber of Commerce,Thorold,"PO Box 20011, Thorold, ON L2V 5B3",289-438-2546,info@nbotac.com,https://nbotac.com,"Local businesses, entrepreneurs, startups","Membership support, advocacy, networking events, member resources",43.1236,-79.1994,Mailing address. Coordinates are approximate (city-centre).
South Niagara Chambers of Commerce (Partnership),Chamber of Commerce,Niagara Falls,"4056 Dorchester Rd, Niagara Falls, ON L2E 6M9",905-871-3803,admin@forteriechamber.com,https://forteriechamber.com,"Businesses (Fort Erie, Niagara Falls, Port Colborne-Wainfleet, Welland/Pelham)","Business networking, directory, events, chamber support across South Niagara",43.0896,-79.0849,Coordinates are approximate (city-centre).
Start Me Up Niagara,Community Organization / Employment Support,St. Catharines,"203 Church St. (Resource Centre) & 211 Church St. (Work Action Centre), St. Catharines, ON L2R 3E8",(905) 984-5310 / (289) 438-3939,,https://www.startmeupniagara.ca/site/home,"Community members, job seekers, entrepreneurs needing wraparound support","Resource centre support, employment services via Work Action Centre, referrals",43.1594,-79.2469,Coordinates are approximate (city-centre).
211 Ontario,Community Navigation / Referrals,Ontario (Online),Dial 2-1-1 (Ontario-wide),2-1-1 / 1-877-330-3213,gethelp@211ontario.ca,https://211ontario.ca,Anyone needing social services and community programs (including entrepreneurs),"24/7 helpline, referrals to community supports (150+ languages), live chat and email",45.4215,-75.6972,Province-wide service. Coordinates pinned to Ottawa for map visibility.
Niagara Peninsula Homes (NPH),Community Organization / Housing Support,Welland,"41 Victoria St., Welland, ON L3B 4L7",(905) 788-0166 / 1-800-565-1274,babaker@nphcr.ca,https://nphcr.ca,Community members needing housing support (stability supports entrepreneurship),"Non-profit housing supports, referrals, community-based services",42.9922,-79.2484,Coordinates are approximate (city-centre).
Accel North (Coworking),Coworking Space,St. Catharines,"110 James St, St. Catharines, ON L2R 7E8",289-974-6947,hello@accelnorth.com,https://accelnorth.com,"Founders, startups, remote professionals","Coworking desks, private offices, flexible memberships, community events",43.1594,-79.2469,Coordinates are approximate (city-centre).
Regus (St. Catharines – 39 Queen St),Coworking Space,St. Catharines,"39 Queen St, 3rd Floor, St. Catharines, ON L2R 5G6",+1 647-560-7020,,https://www.regus.com/en/ca/coworking?gclsrc=aw.ds&&cust_source=google&cust_medium=cpc&cust_source_platform=GOOGLE&cust_campaign=CA+%3E+EN+%3E+SM+%3E+Brand+Product+%3E+2025_T_&cust_adgroup=Brand+Coworking&cust_term=regus+coworking&gad_source=1&gad_campaignid=23349464822&gbraid=0AAAAADiBhGkLbArBnwB9-fNO3_z8nwILV&gclid=CjwKCAiA-sXMBhAOEiwAGGw6LAYwhT65t81gCUlDrF6JgtWG_C4Lk5UNsZF0bdq0ZUt0Y7Rq12PHMRoCUUUQAvD_BwE,Businesses and professionals needing flexible workspace,"Coworking, private offices, meeting rooms, virtual office plans",43.1594,-79.2469,Coordinates are approximate (city-centre).
Small Business Enterprise Centre Network (Ontario),Provincial Small Business Support,Ontario (Online),Ontario-wide network (search by city),,,https://smeclimatehub.org/food-and-beverage-manufacturing/?utm_source=google&utm_medium=cpc&utm_campaign=food+and+beverage&gad_source=1&gad_campaignid=23077925746&gbraid=0AAAABBjpf2Pc_FI5XKajxve509Oe6M7ky&gclid=CjwKCAiA-sXMBhAOEiwAGGw6LJA3u1aVtK8tOZjQxQ1Ajj_p_JJRLCH1m4uiMEEmP3rR7F5alF_2IhoCPW0QAvD_BwE,Ontario entrepreneurs and small businesses,"Consultations, business planning, workshops, referrals (local SBEC offices)",43.6532,-79.3832,Ontario-wide. Coordinates pinned to Toronto.
Starter Company Plus (Ontario),Provincial Funding / Training,Ontario (Online),Delivered through local Small Business Enterprise Centres,,,https://www.ontario.ca/page/starter-company-plus,Ontario entrepreneurs (varies by region; often includes women entrepreneurs),"Training, mentoring, possible grant support (availability varies by SBEC)",43.6532,-79.3832,Check local SBEC for eligibility. Coordinates pinned to Toronto.
Women Entrepreneurship Strategy (Government of Canada),Federal Women Funding,Canada (Online),Canada-wide,,,https://ised-isde.canada.ca/site/ised/en/programs-and-initiatives/women-entrepreneurship-strategy,Women entrepreneurs across Canada,Funding and support ecosystem for women entrepreneurs via partner organizations,45.4215,-75.6972,Federal program (online). Coordinates pinned to Ottawa.
Business Development Bank of Canada (BDC),Federal Funding / Loans,Canada (Online),Canada-wide,,,https://www.vaneck.com/us/en/investments/bdc-income-etf-bizd/overview/?utm_source=google&utm_medium=cpc&utm_campaign=bizd_search_us&gad_source=1&gad_campaignid=22329956806&gbraid=0AAAAADLo2ewvXxBgl4_RXvzAVTJ-EW9kl&gclid=CjwKCAiA-sXMBhAOEiwAGGw6LCOEatAN1SSuXsqVGWpWC4vw735WZoCOHrjeCR43of3ckkWZeNC-xRoCJ6kQAvD_BwE,Entrepreneurs and small-to-medium businesses,"Financing/loans, advisory services, growth support for entrepreneurs",45.4215,-75.6972,Loans/financing included (requirement #2). Coordinates pinned to Ottawa.
Canada Small Business Financing Program (CSBFP),Federal Loans / Financing,Canada (Online),Canada-wide (delivered via financial institutions),,,https://ised-isde.canada.ca/site/canada-small-business-financing-program/en,Small businesses needing financing for equipment/leasehold improvements,Loan program delivered through participating lenders (banks/credit unions),45.4215,-75.6972,Loan program (requirement #2). Coordinates pinned to Ottawa.
Futurpreneur Canada,Federal Youth Funding / Mentorship,Canada (Online),Canada-wide,,,https://ised-isde.canada.ca/site/audits-evaluations/en/evaluation/evaluation-futurpreneur-canada-2024,Young entrepreneurs (and women/youth founders),Startup financing + mentorship for young entrepreneurs,45.4215,-75.6972,Includes mentorship + financing. Coordinates pinned to Ottawa.
Export Development Canada (EDC),Federal Export Support,Canada (Online),Canada-wide,,,https://www.edc.ca/,Businesses exporting or planning to export,"Export financing/insurance, market insights, trade support",45.4215,-75.6972,Useful for growth/expansion (requirement #1/#2). Coordinates pinned to Ottawa.
Trade Commissioner Service (TCS),Federal Export Support,Canada (Online),Canada-wide (global network),,,https://www.tradecommissioner.gc.ca/en.html,Businesses expanding into global markets,"Export advisory, introductions, funding/accelerators, trade event support",45.4215,-75.6972,Useful for scaling women-led businesses. Coordinates pinned to Ottawa.
BizPaL (Permits & Licences Finder),Federal/Provincial Tool,Canada (Online),Online tool,,,https://services.bizpal-perle.ca/?b=11,New businesses needing permits and licences,Find permits and licences required by location and business type,45.4215,-75.6972,Helpful for startup compliance. Coordinates pinned to Ottawa.
Women Entrepreneurship Knowledge Hub (WEKH),Federal Women Support / Research Hub,Canada (Online),Canada-wide (online),,,https://wekh.ca/,"Women entrepreneurs, researchers, support organizations","Resources, insights, research, support networks for women entrepreneurs",45.4215,-75.6972,Good for evidence-based resources for your capstone. Coordinates pinned to Ottawa.
Rosie Mentorship Program (The Prosperity Project),Mentorship (Women),Canada (Online),Canada-wide (virtual mentorship),,mentoring@canadianprosperityproject.ca,https://canadianprosperityproject.ca,Women (including newcomers) seeking career advancement,"Barrier-free 6-month 1:1 mentorship, networking and support resources",45.4215,-75.6972,Explicit newcomer relevance noted in program testimonials. Coordinates pinned to Ottawa.
